Movie Title,Release Year,IMDb Rating,Movie Link,Stream
Napoleon,2023,6.4,/in/movie/napoleon-2023,"Apple TV, Apple TV"
Fear the Walking Dead,2015,6.8,/in/tv-show/fear-the-walking-dead,Amazon Prime Video
Pindam,2023,8.1,/in/movie/pindam,Amazon Prime Video
ImMATURE,2019,8.6,/in/tv-show/im-mature,Amazon Prime Video
Mad Max: Fury Road,2015,8.1,/in/movie/mad-max-fury-road,"Amazon Prime Video, Google Play Movies, Apple TV"
Campus Beats,2023,7.1,/in/tv-show/campus-beats,Amazon miniTV
Elite,2018,7.2,/in/tv-show/elite,Netflix
Vinland Saga,2019,8.8,/in/tv-show/vinland-saga,Netflix
Pokémon,1997,,/in/tv-show/pokemon,Jio Cinema
Wonka,2023,7.1,/in/movie/wonka,"Bookmyshow, Apple TV, Apple TV"
Role Play,2024,5.4,/in/movie/role-play-2023,Amazon Prime Video
Ek Mahanayak - Dr B R Ambedkar,2019,7.5,/in/tv-show/ek-mahanayak-dr-b-r-ambedkar,Zee5
Line of Duty,2012,8.7,/in/tv-show/line-of-duty,AMC Plus Apple TV Channel 
Silo,2023,8.1,/in/tv-show/silo,Apple TV Plus
Rocky Aur Rani Kii Prem Kahaani,2023,6.6,/in/movie/rocky-aur-rani-ki-prem-kahani,"Amazon Prime Video, Amazon Video"
Severance,2022,8.7,/in/tv-show/severance,Apple TV Plus
Avatar: The Last Airbender,2005,9.3,/in/tv-show/avatar-the-last-airbender-2005,
Dada,2023,8.2,/in/movie/dada-2023,Amazon Prime Video
Trigger Point,2022,6.5,/in/tv-show/trigger-point,
Chithha,2023,8.3,/in/movie/chittha,Hotstar
The Originals,2013,8.3,/in/tv-show/the-originals,Amazon Prime Video
Family Guy,1999,8.2,/in/tv-show/family-guy,Hotstar
Jigarthanda Double X,2023,8.1,/in/movie/jigarthanda-doublex,Netflix
Ragini MMS Returns,2017,4.1,/in/tv-show/ragini-mms-returns,Alt Balaji
The Married Woman,2021,6.5,/in/tv-show/the-married-woman,
Hijack,2023,7.4,/in/tv-show/hijack,Apple TV Plus
Extra Ordinary Man,2023,5.1,/in/movie/extra,
Kaisi Yeh Yaariyan,2014,8.0,/in/tv-show/kaisi-yeh-yaariaan,Jio Cinema
Kho Gaye Hum Kahan,2023,7.6,/in/movie/kho-gaye-hum-kahan,Netflix
For All Mankind,2019,8.1,/in/tv-show/for-all-mankind,Apple TV Plus
The Mandalorian,2019,8.7,/in/tv-show/the-mandalorian,Hotstar
Blue Beetle,2023,6.0,/in/movie/blue-beetle,"Jio Cinema, Amazon Video, Apple TV"
Chicago P.D.,2014,8.1,/in/tv-show/chicago-p-d,Jio Cinema
Atlanta,2016,8.6,/in/tv-show/atlanta,
Jab Mila Tu,2024,8.8,/in/tv-show/jab-mila-tu,Jio Cinema
Billions,2016,8.3,/in/tv-show/billions,Hotstar
A Murder at the End of the World,2023,7.1,/in/tv-show/a-murder-at-the-end-of-the-world,Hotstar
Zara Hatke Zara Bachke,2023,6.4,/in/movie/zara-hatke-zara-bach-ke,
The Great,2020,8.2,/in/tv-show/the-great,Amazon Prime Video
The Night Agent,2023,7.5,/in/tv-show/the-night-agent,Netflix
Marvel's Agents of S.H.I.E.L.D.,2013,7.5,/in/tv-show/marvels-agents-of-s-h-i-e-l-d,
Three of Us,2023,7.6,/in/movie/three-of-us,Netflix
Antony,2023,6.7,/in/movie/antony-2023,Amazon Prime Video
Mayor of Kingstown,2021,8.2,/in/tv-show/mayor-of-kingstown,Amazon Prime Video
MINDHUNTER,2017,8.6,/in/tv-show/mindhunter,Netflix
Paatal Lok,2020,8.1,/in/tv-show/paatal-lok,Amazon Prime Video
Squid Game,2021,8.0,/in/tv-show/squid-game,Netflix
The Holdovers,2023,8.0,/in/movie/the-holdovers,
The Wolf of Wall Street,2013,8.2,/in/movie/the-wolf-of-wall-street,"Lionsgate Play, Google Play Movies, Google Play Movies"
Hidden Love,2023,,/in/tv-show/hidden-love,Netflix
Badland Hunters,2024,6.0,/in/movie/badland-hunters,Netflix
Fellow Travelers,2023,8.1,/in/tv-show/fellow-travelers,
Dune,2021,8.0,/in/movie/dune-2021,"Amazon Video, Apple TV"
Arrested Development,2003,8.7,/in/tv-show/arrested-development,Hotstar
Aashiqana,2022,5.2,/in/tv-show/aashiqana,Hotstar
Two and a Half Men,2003,7.1,/in/tv-show/two-and-a-half-men,Amazon Prime Video
Tom Clancy's Jack Ryan,2018,8.0,/in/tv-show/tom-clancys-jack-ryan,Amazon Prime Video
A Teacher,2020,6.9,/in/tv-show/a-teacher,Hotstar
1923,2022,8.3,/in/tv-show/1923,Jio Cinema
Starfish,2023,6.0,/in/movie/starfish-2023,Netflix
Dumb Money,2023,6.9,/in/movie/dumb-money,"Netflix, Amazon Video, Apple TV"
Captains of the World,2023,8.4,/in/tv-show/captains-of-the-world,Netflix
Marvel's Iron Fist,2017,6.4,/in/tv-show/marvels-iron-fist,Hotstar
Arthdal Chronicles,2019,8.3,/in/tv-show/arthdal-chronicles,Netflix
The Messiah,2023,8.0,/in/tv-show/la-mesias,
The Crown,2016,8.6,/in/tv-show/the-crown,Netflix
Inception,2010,8.8,/in/movie/inception,"Netflix, Amazon Video, Apple TV"
Hostel Daze,2019,8.5,/in/tv-show/hostel-daze,Amazon Prime Video
Goblin,2016,8.6,/in/tv-show/goblin,Netflix
Saint Seiya: Knights of the Zodiac,1986,8.5,/in/tv-show/saint-seiya-knights-of-the-zodiac,
The Leftovers,2014,8.3,/in/tv-show/the-leftovers,Jio Cinema
Baki,2018,6.8,/in/tv-show/baki,Netflix
Narcos,2015,8.8,/in/tv-show/narcos,Netflix
Atharva,2023,7.3,/in/movie/atharva,Amazon Prime Video
La Brea,2021,5.8,/in/tv-show/la-brea,Jio Cinema
Guns & Gulaabs,2023,7.7,/in/tv-show/guns-and-gulaabs,Netflix
Alice in Borderland,2020,7.7,/in/tv-show/alice-in-borderland,Netflix
Bhabiji Ghar Par Hai!,2015,8.7,/in/tv-show/bhabi-ji-ghar-par-hain,Zee5
Inspector Avinash,2023,7.8,/in/tv-show/inspector-avinash,Jio Cinema
The Real Story of...,2016,8.5,/in/tv-show/the-real-story-of,Amazon Prime Video
Malcolm in the Middle,2000,8.2,/in/tv-show/malcolm-in-the-middle,Hotstar
Tatlubaaz,2023,5.9,/in/tv-show/tatlubaaz,EPIC ON
The Batman,2022,7.8,/in/movie/the-batman,"Netflix, Amazon Video, Google Play Movies"
Full House,1987,6.8,/in/tv-show/full-house,
Kota Factory,2019,9.0,/in/tv-show/kota-factory,Netflix
XXX: Uncensored,2018,4.8,/in/tv-show/x-x-x-uncensored,Alt Balaji
His Dark Materials,2019,7.8,/in/tv-show/his-dark-materials,Jio Cinema
The Expanse,2015,8.5,/in/tv-show/the-expanse,Amazon Prime Video
Rome,2005,8.7,/in/tv-show/rome,Jio Cinema
Yaariyan 2,2023,6.1,/in/movie/yaariyan-2,
Silicon Valley,2014,8.5,/in/tv-show/silicon-valley,Jio Cinema
The Sandman,2022,7.7,/in/tv-show/the-sandman,Netflix
Uri: The Surgical Strike,2019,8.2,/in/movie/uri-the-surgical-strike,Zee5
Fleabag,2016,8.7,/in/tv-show/fleabag,Amazon Prime Video
Spy x Family,2022,8.4,/in/tv-show/spy-x-family,Netflix
Boruto: Naruto Next Generations,2017,6.5,/in/tv-show/boruto-naruto-next-generations,Netflix
The Twelve,2019,7.4,/in/tv-show/the-twelve,Netflix
Annapoorani,2023,3.7,/in/movie/annapoorani,
Sultan of Delhi,2023,5.9,/in/tv-show/sultan-of-delhi,Hotstar
Single's Inferno,2021,7.2,/in/tv-show/singles-inferno,Netflix
The Envoys,2021,7.1,/in/tv-show/the-envoys,
Captivating the King,2024,,/in/tv-show/captivating-the-king,Netflix
Aquaman,2018,6.8,/in/movie/aquaman,"Netflix, Amazon Video, Apple TV"
The Creator,2023,6.8,/in/movie/the-creator,"Apple TV, Apple TV"
Lawrence of Arabia,1962,8.3,/in/movie/lawrence-of-arabia,"Netflix, Amazon Video, Apple TV"
Humorously Yours,2016,8.5,/in/tv-show/humorously-yours,Zee5
Matsya Kaand,2021,8.8,/in/tv-show/matsya-kaand,MX Player
Shoorveer,2022,7.1,/in/tv-show/shoorveer,Hotstar
Uttaran,2008,4.4,/in/tv-show/uttaran,Voot
My Girlfriend is an Alien,2019,8.3,/in/tv-show/my-girlfriend-is-an-alien,MX Player
Ben 10,2005,7.5,/in/tv-show/ben-10,Netflix
Puncch Beat,2019,6.3,/in/tv-show/puncch-beat,Alt Balaji
Regular Show,2010,8.5,/in/tv-show/regular-show,Netflix
She,2020,6.4,/in/tv-show/she,Netflix
Khakee: The Bihar Chapter,2022,8.2,/in/tv-show/khakee-the-bihar-chapter,Netflix
From,2022,7.8,/in/tv-show/from,
Tokyo Revengers,2021,7.9,/in/tv-show/tokyo-revengers,Netflix
The Girlfriend Experience,2016,7.0,/in/tv-show/the-girlfriend-experience,Lionsgate Play
The Continental: From the World of John Wick,2023,7.2,/in/tv-show/the-continental,Amazon Prime Video
Lessons in Chemistry,2023,8.3,/in/tv-show/lessons-in-chemistry,Apple TV Plus
Gadar 2,2023,5.2,/in/movie/gadar-2,"Zee5, Amazon Video"
Marvel's The Punisher,2017,8.5,/in/tv-show/marvels-the-punisher,Hotstar
Law & Order: Special Victims Unit,1999,8.1,/in/tv-show/law-and-order-special-victims-unit,Jio Cinema
Human,2022,7.8,/in/tv-show/human,Hotstar
Classroom of the Elite,2017,7.7,/in/tv-show/classroom-of-the-elite,Crunchyroll
Killing Eve,2018,8.1,/in/tv-show/killing-eve,Lionsgate Play
Dr. Arora,2022,7.1,/in/tv-show/dr-arora,Sony Liv
NCIS,2003,7.8,/in/tv-show/ncis,Amazon Prime Video
Barry,2018,8.4,/in/tv-show/barry,Jio Cinema
Tadap,2019,5.8,/in/tv-show/tadap,Jio Cinema
The World of the Married,2020,8.0,/in/tv-show/the-world-of-the-married,Netflix
Godzilla Minus One,2023,8.3,/in/movie/godzilla-minus-one,
Jhalak Dikhhla Jaa,2006,5.6,/in/tv-show/jhalak-dikhhla-jaa,Jio Cinema
It's Okay to Not Be Okay,2020,8.6,/in/tv-show/its-okay-to-not-be-okay,Netflix
The Diplomat,2023,6.8,/in/tv-show/the-diplomat-2023,
Wolf Like Me,2022,7.3,/in/tv-show/wolf-like-me,Amazon Prime Video
Mr. Robot,2015,8.5,/in/tv-show/mr-robot,Amazon Prime Video
Pati Patni Aur Panga,2020,6.2,/in/tv-show/pati-patni-aur-panga,MX Player
Toby,2023,7.3,/in/movie/toby,Sony Liv
Hannibal,2013,8.5,/in/tv-show/hannibal,
Batman: The Animated Series,1992,9.0,/in/tv-show/batman-the-animated-series,Netflix
